发布时间,转发数,评论数,收藏数,点赞数,动态内容
2020-04-27 15:24:36,1,3,3,12,今天电气仪表、日用化工、银行等领涨，特别是银行，好久没有表现了，另外上涨的板块有酿酒、农林牧渔、保险、房地产等绩优板块，今天的A股所有股票的算术平均跌幅和中位数都是下跌了0.66%，特别是中位数跌幅，今年高达7.35%，这个月最弱的上证指数上涨2.38%，而中位数涨幅只有区区的0.79%，说明本月小票非常弱：
2020-04-27 14:55:02,8,30,3,14,$贵州茅台(SH600519)$ 一般的行情都是缩量见底，放量见顶。可茅台最近的行情偏偏是反过来了，几次放量都是底部：
2020-04-27 10:11:55,3,26,0,16,$长春高新(SZ000661)$ 我发现长春高新和茅台这两个高价股非常趋同，今天再次双双创出历史新高，长春高新也是第一次站上600元，相当于半个茅台，可惜没像茅台那样重仓，只有一点点。
2020-04-27 10:11:55,1,4,1,8,$长春高新(SZ000661)$ 我发现长春高新和茅台这两个高价股非常趋同，今天再次双双创出历史新高，长春高新也是第一次站上600元，相当于半个茅台，可惜没像茅台那样重仓，只有一点点。
2020-04-25 08:38:11,3,8,3,63,一月武汉加油！二月中国加油！三月世界加油！四月油加多了！
2020-04-24 20:23:45,4,20,0,23,这集《猎狐》看着憋屈，杨队为了亲情助纣为虐走上犯罪道路。
2020-04-24 17:05:47,13,27,14,119,CCTV2在今天16：44播出了采访我关于可转债的录像：网页链接
2020-04-24 15:55:38,1,2,2,12,今天56个行业板块只有旅游、酿酒、工程机械、酒店餐饮四个板块是红的，IT设备、医疗保健、纺织服饰等板块领跌。相对表现比较好的是科创板，今天涨幅中位数涨了0.43%，是宽基指数里唯一涨的。今天跌幅最小的是50，最大的是1000，但本周跌幅最大的是50，跌幅最小的是1000，说明大小票最近轮番表现。下周只有4个交易日，最后一批年报季报会密集发布，估计对股价有影响，到了5月份又进入季报真空期，估计又要开始炒概念了：
2020-04-24 14:20:02,5,31,1,12,看看喜茶没人排队，问一下要等一个小时，只能放弃。
2020-04-23 17:18:42,2,16,2,77,13年前没有买亚洲最赚钱的中石油，感觉是赚了几百万；13年后没买全球最便宜的中行油，感觉是赚了几个亿了。
